商品コード,商品名,仕様,定価
J14021902,[終息]東芝 T-4590J 14021902 小容量,純正,5000
J150011,[終息]NEC PR-L1500-11 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,20000
J150031,[在庫限り終息]NEC PR-L1500-31 ﾄﾞﾗﾑｶｰﾄﾘｯｼﾞ,純正,40000
J1829C002,"CANON PPCCS用紙 CS-064 A4 2,500枚 1829C002",坪量 64g/m2　厚さ 89μm　白色度 91％,
J18303K,ｺﾆｶﾐﾉﾙﾀ bizhub-1830　3K仕様,純正,
J18306K,ｺﾆｶﾐﾉﾙﾀ bizhub-1830　6K仕様,純正,
J1842433K,ｺﾆｶﾐﾉﾙﾀ bizhub-1842/1843 ﾄﾅｰ 3K仕様,純正,
J1842436K,ｺﾆｶﾐﾉﾙﾀ bizhub-1842/1843 ﾄﾅｰ 6K仕様,純正,
J1857B001,CANON ﾄﾅｰｽﾀﾝﾌﾟｲﾝｸｶｰﾄﾘｯｼﾞ･C1 1857B001,純正,4500
J19W,RICOH ｲﾏｼﾞｵ ﾄﾅｰ ﾀｲﾌﾟ19W,純正,14100
J230055,NEC PR-L2300-55 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,48000
J27,RICOH ｲﾏｼﾞｵ ﾄﾅｰ ﾀｲﾌﾟ27,純正,8800
J2733V707,CANON ｶｰﾄﾞﾌﾟﾘﾝﾀｰ用ｸﾘｰﾆﾝｸﾞｼｰﾄ 1ﾊﾟｯｸ(10枚) 2733V707,純正,
J28,#NAME?,純正,25500
J280055,NEC PR-L2800-55 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,42000
J2900C11,-在庫限り終息-NEC PR-L2900C-11 ｲｴﾛｰ ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,12300
J2900C12,-在庫限り終息-NEC PR-L2900C-12 ﾏｾﾞﾝﾀﾞ ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,12300
J2900C13,-在庫限り終息-NEC PR-L2900C-13 ｼｱﾝ ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,12300
J2900C14,-在庫限り終息-NEC PR-L2900C-14 ﾌﾞﾗｯｸ ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,9300
J2900C16,-在庫限り終息-NEC PR-L2900C-16 ｲｴﾛｰ(大容量) ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,22500
J2900C17,-在庫限り終息-NEC PR-L2900C-17 ﾏｾﾞﾝﾀﾞ(大容量) ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,22500
J2900C18,-在庫限り終息-NEC PR-L2900C-18 ｼｱﾝ(大容量) ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,22500
J2900C19,-在庫限り終息-NEC PR-L2900C-19 ﾌﾞﾗｯｸ(大容量) ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,14400
J2900C19W,-在庫限り終息-NEC PR-L2900C-19W 大容量ﾌﾞﾗｯｸ(2P) ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,24300
J2900C31,-在庫限り終息-NEC PR-L2900C-31 ﾄﾞﾗﾑｶｰﾄﾘｯｼﾞ,純正,33700
J29W,RICOH ｲﾏｼﾞｵ ﾄﾅｰｷｯﾄﾀｲﾌﾟ29W ﾌﾞﾗｯｸ,純正,8160
J2PV63A,HP HP730 P2V63A ｲﾝｸｶｰﾄﾘｯｼﾞ ﾏｾﾞﾝﾀ 130ml,純正,10800
J301BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ301 BK,純正,
J301C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ301 C,純正,
J301M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ301 M,純正,
J301Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ301 Ｙ,純正,
J303,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ 303　7616A004,純正,9100
J304,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ304　0263B005,純正,9100
J306,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ306【在庫限り終息】,純正,
J307A,HP 307A 黒 ﾄﾅｰｶｰﾄﾘｯｼﾞ CE740A,純正,34445
J307BK,#NAME?,純正,
J307C,-終息-CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ307 C,純正,
J307M,#NAME?,純正,
J307Y,#NAME?,純正,
J3100,RICOH SPﾄﾅｰ 3100【515244】,純正,8200
J3100DR,RICOH SPﾄﾞﾗﾑﾕﾆｯﾄ 3100【515243】,純正,25000
J311BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ311 BK,純正,18300
J311C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ311 C,純正,18600
J311M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ311 M,純正,18600
J311Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ311 Y,純正,18600
J312,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ 312 【1870B003】,純正,7000
J316BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ316 BK　1980B003,純正,8800
J316C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ316 C　1979B003,純正,8600
J316M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ316 M　1978B003,純正,8600
J316Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ316 Y　1977B003,純正,8600
J317BK,-在庫限り-CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ317 BK(2023.3終息),純正,19220
J317C,-在庫限り-CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ317 C(2023.3終息),純正,17120
J317M,-在庫限り-CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ317 M(2023.3終息),純正,17120
J317Y,-在庫限り-CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ317 Y(2023.3終息),純正,17120
J318BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ318 BK　2662B003,純正,15100
J318C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ318 C　2661B003,純正,14600
J318M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ318 M　2660B003,純正,14600
J318VP,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ318 BK VP　2662B006,純正,24200
J318Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ318 Y　2659B003,純正,14600
J320,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ320　2617B003,純正,21800
J3200D,XEROX ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ DocuPrint 3200 d   N3300050,,128000
J3200DFUS,XEROX DP3200d FUSING ASSY 100 L 126K39026,純正,17300
J3222C,CANON ｶｰﾄﾘｯｼﾞ322Ⅱ ｼｱﾝ,純正,54500
J3222K,CANON ｶｰﾄﾘｯｼﾞ322Ⅱ ﾌﾞﾗｯｸ,純正,43700
J3222M,CANON ｶｰﾄﾘｯｼﾞ322Ⅱ ﾏｾﾞﾝﾀﾞ,純正,54500
J3222Y,CANON ｶｰﾄﾘｯｼﾞ322Ⅱ ｲｴﾛｰ,純正,54500
J322BK,-終息-CANON ｶｰﾄﾘｯｼﾞ322 ﾌﾞﾗｯｸ　2652B001-2025.3終息-,純正,26400
J322C,-終息-CANON ｶｰﾄﾘｯｼﾞ322 ｼｱﾝ　2650B001-2025.3終息-,純正,35300
J322M,-終息-CANON ｶｰﾄﾘｯｼﾞ322 ﾏｾﾞﾝﾀ　2648B001-2025.3終息-,純正,35300
J322Y,-終息-CANON ｶｰﾄﾘｯｼﾞ322 ｲｴﾛｰ　2646B001-2025.3終息-,純正,35300
J3232,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ323Ⅱ BK　2645B003(2022.3終息),純正,31180
J323BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ323 BK(2022.3終息),純正,18180
J323C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ323 C(2022.3終息),純正,28560
J323M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ323 M(2022.3終息),純正,28560
J323Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ323 Y(2022.3終息),純正,28560
J325,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ 325　3484B003,純正,7500
J3253265MP,CANON ｲﾝｸﾀﾝｸ BCI-326(BK/C/M/Y)+325 5MP,純正,
J3253266MP,CANON ｲﾝｸﾀﾝｸ BCI-326(BK/C/M/Y/GY)+325 6MP,純正,
J325PGBK,CANON ｲﾝｸﾀﾝｸ BCI-325PGBK ﾌﾞﾗｯｸ,純正,
J325PGBK2P,CANON ｲﾝｸﾀﾝｸ BCI-325PGBK2P ﾌﾞﾗｯｸ 2個ﾊﾟｯｸ,純正,
J326,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ 326　3483B003,純正,9500
J326BK,CANON ｲﾝｸﾀﾝｸ BCI-326BK ﾌﾞﾗｯｸ,純正,
J326C,CANON ｲﾝｸﾀﾝｸ BCI-326C ｼｱﾝ,純正,
J326GY,CANON ｲﾝｸﾀﾝｸ BCI-326GY ｸﾞﾚｰ,純正,
J326M,CANON ｲﾝｸﾀﾝｸ BCI-326M ﾏｾﾞﾝﾀ,純正,
J326Y,CANON ｲﾝｸﾀﾝｸ BCI-326Y ｲｴﾛｰ,純正,
J328,CANON ｶｰﾄﾘｯｼﾞ328 【3500B003】,純正,9500
J328VP,CANON ｶｰﾄﾘｯｼﾞ328VP　3500B004,純正,16000
J329BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ329 BK　4370B003,純正,5300
J329C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ329 C　4369B003,純正,6600
J329M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ329 M　4368B003,純正,6600
J329Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ329 Y　4367B003,純正,6600
J3312BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ331Ⅱ BK 【6273B003】,純正,9200
J331C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ331 C 【6271B003】,純正,8600
J331M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ331 M 【6270B003】,純正,8600
J331Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ331 Y 【6269B003】,純正,8600
J334301,弥生 売上伝票 ｶｯﾄ紙500枚 334301,,9900
J335C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335 C,純正,51800
J335EBK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335e BK　0465C001,純正,29000
J335EC,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335e C　0464C001,純正,35200
J335EM,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335e M　0463C001,純正,35200
J335EY,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335e Y　0462C001,純正,35200
J335K,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335 BK,純正,41000
J335M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335 M,純正,51800
J335Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ335 Y,純正,51800
J3360S,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPrint 3360 S (N3300055),純正,146000
J337,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ337　9435B003,純正,10800
J337VP,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ337VP 【9435B005】,純正,18300
J3500D,XEROX ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ DocuPrint 3500 d   N3300051,,158000
J350PGBK,CANON ｲﾝｸﾀﾝｸ BCI-350PGBK ﾌﾞﾗｯｸ,純正,
J350XLPGBK,CANON ｲﾝｸﾀﾝｸ BCI-350XLPGBK,純正,
J350XLPGBK2P,CANON ｲﾝｸﾀﾝｸ BCI-350XLPGBK2P,純正,
J3513505MP,CANON ｲﾝｸﾀﾝｸ BCI-351+350 5MP,純正,
J3513506MP,CANON ｲﾝｸﾀﾝｸ BCI-351+350 6MP,純正,
J351BK,CANON ｲﾝｸﾀﾝｸ BCI-351BK ﾌﾞﾗｯｸ,純正,
J351C,CANON ｲﾝｸﾀﾝｸ BCI-351C ｼｱﾝ,純正,
J351GY,CANON ｲﾝｸﾀﾝｸ BCI-351GY ｸﾞﾚｰ,純正,
J351M,CANON ｲﾝｸﾀﾝｸ BCI-351M ﾏｾﾞﾝﾀ,純正,
J351XL350XL5MP,CANON ｲﾝｸﾀﾝｸ BCI-351XL+350XL 5MP,純正,
J351XL350XL6MP,CANON ｲﾝｸﾀﾝｸ BCI-351XL+350XL 6MP,純正,
J351XLBK,CANON ｲﾝｸﾀﾝｸ BCI-351XLBK,純正,
J351XLC,CANON ｲﾝｸﾀﾝｸ BCI-351XLC,純正,
J351XLGY,CANON ｲﾝｸﾀﾝｸ BCI-351XLGY,純正,
J351XLM,CANON ｲﾝｸﾀﾝｸ BCI-351XLM,純正,
J351XLY,CANON ｲﾝｸﾀﾝｸ BCI-351XLY,純正,
J351Y,CANON ｲﾝｸﾀﾝｸ BCI-351Y ｲｴﾛｰ,純正,
J3554,RICOH  imgio MPﾄﾅｰ 3554,純正,
J3554SP,RICOH  imgio MPｽﾎﾟｯﾄﾄﾅｰ 3554　600306,純正,8800
J355XXLPGBK,CANON ｲﾝｸﾀﾝｸ BCI-355XXLPGBK,純正,
J370PGBK,CANON ｲﾝｸﾀﾝｸ BCI-370PGBK,純正,
J370XLPGBK,CANON ｲﾝｸﾀﾝｸ BCI-370XLPGBK,純正,
J370XLPGBK2P,CANON ｲﾝｸﾀﾝｸ BCI-370XLPGBK2P 2個ﾊﾟｯｸ,純正,
J37137105MP,CANON ｲﾝｸﾀﾝｸ BCI-371+370 5MP,純正,
J37137106MP,CANON ｲﾝｸﾀﾝｸ BCI-371+370 6MP,純正,
J371BK,CANON ｲﾝｸﾀﾝｸ BCI-371BK,純正,
J371C,CANON ｲﾝｸﾀﾝｸ BCI-371C,純正,
J371GY,CANON ｲﾝｸﾀﾝｸ BCI-371GY,純正,
J371M,CANON ｲﾝｸﾀﾝｸ BCI-371M,純正,
J371XL371XL5MPV,CANON ｲﾝｸﾀﾝｸ BCI-371XL+370XL 5MPV 写真用紙L判30枚付,純正,
J371XL371XL6MPV,CANON ｲﾝｸﾀﾝｸ BCI-371XL+370XL 6MPV 写真用紙L判30枚付,純正,
J371XLBK,CANON ｲﾝｸﾀﾝｸ BCI-371XLBK,純正,
J371XLC,CANON ｲﾝｸﾀﾝｸ BCI-371XLC,純正,
J371XLGY,CANON ｲﾝｸﾀﾝｸ BCI-371XLGY,純正,
J371XLM,CANON ｲﾝｸﾀﾝｸ BCI-371XLM,純正,
J371XLY,CANON ｲﾝｸﾀﾝｸ BCI-371XLY,純正,
J371Y,CANON ｲﾝｸﾀﾝｸ BCI-371Y,純正,
J380PGBK,CANON ｲﾝｸﾀﾝｸ BCI-380PGBK,純正,
J380SPGBK,CANON ｲﾝｸﾀﾝｸ BCI-380sPGBK 小容量,純正,
J380XLPGBK,CANON ｲﾝｸﾀﾝｸ BCI-380XLPGBK,純正,
J3813805MP,CANON ｲﾝｸﾀﾝｸ BCI-381+380/5MP,純正,
J3813806MP,CANON ｲﾝｸﾀﾝｸ BCI-381+380/6MP,純正,
J381BK,CANON ｲﾝｸﾀﾝｸ BCI-381BK,純正,
J381C,CANON ｲﾝｸﾀﾝｸ BCI-381C,純正,
J381GY,CANON ｲﾝｸﾀﾝｸ BCI-381GY,純正,
J381M,CANON ｲﾝｸﾀﾝｸ BCI-381M,純正,
J381S380S5MP,CANON ｲﾝｸﾀﾝｸ BCI-381s+380s/5MP,純正,
J381S380S6MP,CANON ｲﾝｸﾀﾝｸ BCI-381s+380s/6MP,純正,
J381XLBK,CANON ｲﾝｸﾀﾝｸ BCI-381XLBK,純正,
J381XLC,CANON ｲﾝｸﾀﾝｸ BCI-381XLC,純正,
J381XLGY,CANON ｲﾝｸﾀﾝｸ BCI-381XLGY,純正,
J381XLM,CANON ｲﾝｸﾀﾝｸ BCI-381XLM,純正,
J381XLY,CANON ｲﾝｸﾀﾝｸ BCI-381XLY,純正,
J381Y,CANON ｲﾝｸﾀﾝｸ BCI-381Y,純正,
J3960S,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPrint 3960 S (N3300054),純正,180000
J3C73111,NEC PR-L3C731-11 Y ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,38200
J3C73112,NEC PR-L3C731-12 M ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,38200
J3C73113,NEC PR-L3C731-13 C ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,38200
J3C73114,NEC PR-L3C731-14 BK ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,46000
J3C75111,NEC PR-L3C751-11 Y ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,50800
J3C75112,NEC PR-L3C751-12 M ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,50800
J3C75113,NEC PR-L3C751-13 C ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,50800
J3C75114,NEC PR-L3C751-14 BK ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,39400
J3C75131,NEC PR-L3C751-31 ﾄﾞﾗﾑ,純正,55000
J3C75133,NEC PR-L3C751-33 回収ﾎﾞﾄﾙ,純正,6600
J3ED29A,HP712B ｲﾝｸｶｰﾄﾘｯｼﾞ 3ED29A ﾌﾞﾗｯｸ 80ml,純正,6200
J3ED43A,HP HP730B 3ED43A ｲﾝｸｶｰﾄﾘｯｼﾞ ﾌｫﾄﾌﾞﾗｯｸ 130ml,純正,10800
J3ED44A,HP HP730B 3ED44A ｲﾝｸｶｰﾄﾘｯｼﾞ ｸﾞﾚｲ 130ml,純正,10800
J3ED45A,HP HP730B 3ED45A ｲﾝｸｶｰﾄﾘｯｼﾞ ﾏｯﾄﾌﾞﾗｯｸ 130ml,純正,10800
J3ED49A,HP HP730B 3ED49A ﾌｫﾄﾌﾞﾗｯｸ 300ml,純正,20600
J3ED50A,HP HP730B 3ED50A ｲﾝｸｶｰﾄﾘｯｼﾞｸﾞﾚｲ 300ml,純正,20600
J3ED55A,HP HP766B 3ED55A ｲﾝｸｶｰﾄﾘｯｼﾞﾌｫﾄﾌﾞﾗｯｸ 300ml,純正,
J3ED56A,HP HP766B 3ED56A ｲﾝｸｶｰﾄﾘｯｼﾞｸﾞﾚｰ 300ml,純正,
J3ED57A,HP HP766B 3ED57A ｲﾝｸｶｰﾄﾘｯｼﾞﾏｯﾄﾌﾞﾗｯｸ 300ml,純正,
J3ED58A,HP HP713 ﾌﾟﾘﾝﾄﾍｯﾄﾞ交換ｷｯﾄ 3ED58A,純正,23500
J3ED77A,HP HP712 ｲﾝｸ 3ED77A ｼｱﾝ 29ml×3,純正,6900
J3ED78A,HP HP712 ｲﾝｸ 3ED78A ﾏｾﾞﾝﾀ 29ml×3,純正,6900
J3ED79A,HP HP712 ｲﾝｸ 3ED79A ｲｴﾛｰ 29ml×3,純正,6900
J3JA81AA,HP 965XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3JA81AA ｼｱﾝ,純正,
J3JA82AA,HP 965XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3JA82AA ﾏｾﾞﾝﾀ,純正,
J3JA83AA,HP 965XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3JA83AA ｲｴﾛｰ,純正,
J3JA84AA,HP 965XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3JA84AA 黒,純正,
J3M53012,NEC PR-L3M530-12 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,41600
J3M53031,NEC PR-L3M530-31 ﾄﾞﾗﾑｶｰﾄﾘｯｼﾞ,純正,22200
J3M55011,NEC PR-L3M550-11 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,33600
J3M55012,NEC PR-L3M550-12 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,47000
J3M55031,NEC PR-L3M550-31 ﾄﾞﾗﾑｶｰﾄﾘｯｼﾞ,純正,22200
J3R,RICOH ｲﾏｼﾞｵﾄﾅｰ ﾀｲﾌﾟ3 ﾚｯﾄﾞ,純正,3700
J3WT87A,HP ﾌｭｰｻﾞｰｷｯﾄ 3WT87A,純正,55382
J3WT89A,HP ﾄﾗﾝｽﾌｧｰｷｯﾄ 3WT89A,純正,78527
J3WT90A,HP ﾄﾅｰｺﾚｸｼｮﾝﾕﾆｯﾄ 3WT90A,純正,4836
J3WX00A,HP HP711B 3WX00A ﾌﾞﾗｯｸ 38ml,純正,4800
J3WX01A,HP HP711B 3WX01A ﾌﾞﾗｯｸ 80ml,純正,7200
J3WX06A,HP HP72B 3WX06A ﾏｯﾄﾌﾞﾗｯｸ 130ml,純正,11500
J3WX07A,HP HP72B 3WX07A ﾌｫﾄﾌﾞﾗｯｸ 130ml,純正,11500
J3WX08A,HP HP72B 3WX08A ｸﾞﾚｰ 130ml,純正,11500
J3WX13A,HP HP727B 3WX13A ﾏｯﾄﾌﾞﾗｯｸ 130ml,純正,12100
J3WX14A,HP HP727B 3WX14A ﾌｫﾄﾌﾞﾗｯｸ 130ml,純正,12100
J3WX15A,HP HP727B 3WX15A ｸﾞﾚｰ 130ml,純正,12100
J3WX19A,HP HP727B 3WX19A ﾏｯﾄﾌﾞﾗｯｸ 300ml,純正,23200
J3WX20A,HP HP727B 3WX20A ﾌｫﾄﾌﾞﾗｯｸ 300ml,純正,23200
J3WX21A,HP HP727B 3WX21A ｸﾞﾚｰ 300ml,純正,23200
J3WX26A,HP HP728B 3WX26A ﾌﾞﾗｯｸ 130ml,純正,11500
J3WX30A,HP HP728B 3WX30A ﾌﾞﾗｯｸ 300ml,純正,22000
J3WX35A,HP HP746B 3WX35A ｲﾝｸｶｰﾄﾘｯｼﾞ ﾌｫﾄﾌﾞﾗｯｸ 300ml,純正,13000
J3WX36A,HP HP746B 3WX36A ｲﾝｸｶｰﾄﾘｯｼﾞ ｼｱﾝ 300ml,純正,13000
J3WX37A,HP HP746B 3WX37A ｲﾝｸｶｰﾄﾘｯｼﾞ ﾏｾﾞﾝﾀ 300ml,純正,13000
J3WX38A,HP HP746B 3WX38A ｲﾝｸｶｰﾄﾘｯｼﾞ ｲｴﾛｰ 300ml,純正,13000
J3WX40A,HP HP764B 3WX40A ﾏｯﾄﾌﾞﾗｯｸ 300ml,純正,13400
J3WX41A,HP HP764B 3WX41A ﾌｫﾄﾌﾞﾗｯｸ 300ml,純正,13400
J3WX42A,HP HP764B 3WX42A ｸﾞﾚｰ 300ml,純正,13400
J3YM19AA,HP 915XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3YM19AA ｼｱﾝ,純正,
J3YM20AA,HP 915XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3YM20AA ﾏｾﾞﾝﾀ,純正,
J3YM21AA,HP 915XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3YM21AA ｲｴﾛｰ,純正,
J3YM22AA,HP 915XL ｲﾝｸｶｰﾄﾘｯｼﾞ 3YM22AA 黒,純正,
J3YM57AA,HP67XL ｲﾝｸｶｰﾄﾘｯｼﾞ 黒 3YM57AA,純正,
J3YM58AA,HP67XL ｲﾝｸｶｰﾄﾘｯｼﾞ ｶﾗｰ 3YM58AA,純正,
J400ABK,RICOH ﾀｲﾌﾟ400A ﾌﾞﾗｯｸ 【636596】 純正品,純正,11100
J400AC,RICOH  ﾀｲﾌﾟ400A ｼｱﾝ 【636599】 純正品,純正,15500
J400AM,RICOH  ﾀｲﾌﾟ400A ﾏｾﾞﾝﾀ 【636598】 純正品,純正,15500
J400AY,RICOH  ﾀｲﾌﾟ400A ｲｴﾛｰ 【636597】 純正品,純正,15500
J400BBK,RICOH  ﾀｲﾌﾟ400B ﾌﾞﾗｯｸ 【636667】 純正品,純正,31400
J400BC,RICOH  ﾀｲﾌﾟ400B ｼｱﾝ 【636670】 純正品,純正,41400
J400BM,RICOH  ﾀｲﾌﾟ400B ﾏｾﾞﾝﾀ 【636669】 純正品,純正,41400
J400BY,RICOH  ﾀｲﾌﾟ400B ｲｴﾛｰ 【636668】 純正品,純正,41400
J400DEBK,RICOH 感光体ﾕﾆｯﾄ ﾀｲﾌﾟ400 ﾌﾞﾗｯｸ　509447,純正,55200
J400DRCR,RICOH 感光体ﾕﾆｯﾄ ﾀｲﾌﾟ400 ｶﾗｰ　509446,純正,77200
J400G,RICOH ｲﾝｷ ﾀｲﾌﾟ400G <黒> 613722,純正,3000
J400HI,RICOH 廃ﾄﾅｰﾎﾞﾄﾙ ﾀｲﾌﾟ400　純正品,純正,3400
J4020SD,富士ﾌｲﾙﾑ 複合機 ApeosPort 4020SD (NL200257),純正,
J406,CANON ｶｰﾄﾘｯｼﾞ 406　0264B004(2023.3終息),純正,20480
J416BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ416 BK    1980B004,純正,8900
J416C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ416 C     1979B004,純正,8600
J416M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ416 M    1978B004,純正,8600
J416Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ416 Y    1977B004,純正,8600
J418BK,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ418 BK　2662B007,純正,15100
J418C,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ418 C　2661B004,純正,14500
J418M,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ418 M　2660B004,純正,14500
J418VP,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ418 BK VP　2662B008,純正,24200
J418Y,CANON ﾄﾅｰｶｰﾄﾘｯｼﾞ418 Y　2659B004,純正,14500
J420,CANON ｶｰﾄﾘｯｼﾞ 420　　2617B005,純正,22200
J4200HRE,RICOH SPﾄﾅｰ　4200HRE,純正,
J4200S,RICOH SPﾄﾅｰ　4200S,純正,
J43BK,CANON ｲﾝｸﾀﾝｸ BCI-43BK,純正,
J43C,CANON ｲﾝｸﾀﾝｸ BCI-43C,純正,
J43GY,CANON ｲﾝｸﾀﾝｸ BCI-43GY,純正,
J43LGY,CANON ｲﾝｸﾀﾝｸ BCI-43LGY,純正,
J43M,CANON ｲﾝｸﾀﾝｸ BCI-43M,純正,
J43PC,CANON ｲﾝｸﾀﾝｸ BCI-43PC,純正,
J43PM,CANON ｲﾝｸﾀﾝｸ BCI-43PM,純正,
J43Y,CANON ｲﾝｸﾀﾝｸ BCI-43Y,純正,
J4400D,XEROX ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ DocuPrint 4400 d   N3300052,,218000
J4500,RICOH SPﾄﾅｰ　4500　【600545】,純正,21900
J4500H,RICOH SPﾄﾅｰ 4500H 600544,純正,34300
J4500S,RICOH SPトナー4500S（２本入り）,純正,
J4560S,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPrint 4560 S (N3300053),純正,249000
J460012,NEC PR-L4600-12 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,30600
J460031,NEC PR-L4600-31 ﾄﾞﾗﾑｶｰﾄﾘｯｼﾞ,純正,71300
J470012,NEC PR-L4700-12 ﾄﾅｰｶｰﾄﾘｯｼﾞ,純正,34800
J470031,NEC PR-L4700-31 ﾄﾞﾗﾑｶｰﾄﾘｯｼﾞ,純正,78600
J4830,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPrint 4830 (NL300092),純正,136000
J4830JM,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPrint 4830 JM (NL300093),純正,24900
